Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
146,-0.01421,-0.40844,1.06196,-0.55409,0.01099,0.009,0.08411,-0.7281,0.95816,-0.13232,-0.06506,-0.05336
147,-7e-05,-0.42981,1.0626,-0.53332,5e-05,4e-05,0.09816,-0.73504,0.9327,-0.10055,-0.07592,-0.0623
148,0.01324,-0.44974,1.06123,-0.51206,-0.01025,-0.00839,0.11137,-0.74018,0.90503,-0.06842,-0.08612,-0.07072
149,0.02544,-0.46822,1.05818,-0.49064,-0.01969,-0.01612,0.12348,-0.74362,0.87557,-0.03622,-0.09546,-0.07845
150,0.03627,-0.48527,1.05388,-0.46945,-0.02807,-0.02298,0.1342,-0.74548,0.84482,-0.00429,-0.10373,-0.08532
151,0.04553,-0.50085,1.05131,-0.45149,-0.03523,-0.02885,0.14418,-0.76272,0.8539,0.00318,-0.11142,-0.09171
152,0.05332,-0.51505,1.0575,-0.44367,-0.04125,-0.03379,0.15573,-0.82932,0.99255,-0.06972,-0.12032,-0.09912
153,0.05962,-0.52856,1.06984,-0.44268,-0.04612,-0.03779,0.16799,-0.9033,1.17885,-0.18302,-0.12975,-0.10701
154,0.06435,-0.54102,1.08421,-0.44474,-0.04979,-0.04079,0.17913,-0.95058,1.35024,-0.3081,-0.13832,-0.1142
155,0.0674,-0.55122,1.09573,-0.44614,-0.05214,-0.04273,0.18649,-0.94808,1.46585,-0.42688,-0.14398,-0.11895
156,0.06873,-0.55862,1.10162,-0.44468,-0.05317,-0.04358,0.18848,-0.89231,1.51102,-0.528,-0.1455,-0.12024
157,0.06856,-0.56627,1.1087,-0.44411,-0.05304,-0.04347,0.1885,-0.81976,1.53926,-0.6288,-0.14552,-0.12025
158,0.06691,-0.5747,1.11692,-0.44385,-0.05176,-0.04242,0.1869,-0.73693,1.55249,-0.72471,-0.1443,-0.11922
159,0.06378,-0.58402,1.12536,-0.44287,-0.04935,-0.04043,0.18366,-0.64918,1.55011,-0.80978,-0.14181,-0.11712
160,0.05917,-0.59382,1.13205,-0.43962,-0.04578,-0.03751,0.17834,-0.56061,1.52788,-0.87563,-0.13772,-0.11369
161,0.05299,-0.60016,1.12643,-0.42748,-0.041,-0.03358,0.16774,-0.45851,1.43209,-0.88104,-0.12956,-0.10685
162,0.04525,-0.60414,1.11049,-0.40738,-0.03501,-0.02867,0.15367,-0.35469,1.28125,-0.8329,-0.11873,-0.0978
163,0.03593,-0.60871,1.09059,-0.38272,-0.02781,-0.02277,0.13864,-0.26466,1.11714,-0.75773,-0.10715,-0.08816
164,0.02502,-0.61703,1.07397,-0.35762,-0.01936,-0.01585,0.12425,-0.21084,0.99713,-0.69061,-0.09606,-0.07895
165,0.01269,-0.63143,1.06709,-0.33622,-0.00982,-0.00804,0.11129,-0.21987,0.98507,-0.66876,-0.08605,-0.07067
