Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
123,-0.1056,-0.67287,1.31343,-0.54383,0.08173,0.06694,-0.09828,-0.5089,0.98456,-0.37855,0.07591,0.06248
124,-0.11331,-0.70392,1.37991,-0.57968,0.08767,0.07187,-0.10368,-0.51069,0.99038,-0.38285,0.08008,0.06591
125,-0.12012,-0.72988,1.43577,-0.60996,0.09292,0.07623,-0.10825,-0.51229,0.99544,-0.38654,0.08362,0.06882
126,-0.12577,-0.74884,1.47687,-0.63244,0.09727,0.07986,-0.11203,-0.51339,0.99896,-0.38917,0.08654,0.07122
127,-0.12999,-0.75891,1.49911,-0.64489,0.1005,0.08257,-0.11503,-0.51365,1.00012,-0.39024,0.08886,0.07313
128,-0.13262,-0.75972,1.50165,-0.64679,0.10252,0.08427,-0.11726,-0.51297,0.99872,-0.38964,0.09059,0.07454
129,-0.13436,-0.75921,1.50142,-0.64718,0.10385,0.08541,-0.1188,-0.51239,0.99741,-0.38901,0.09179,0.07552
130,-0.13536,-0.75874,1.50132,-0.64761,0.1046,0.08606,-0.11968,-0.51208,0.99668,-0.38864,0.09248,0.07608
131,-0.13562,-0.75831,1.50134,-0.64807,0.10479,0.08624,-0.11992,-0.51203,0.99651,-0.38853,0.09266,0.07622
132,-0.13514,-0.75794,1.50148,-0.64856,0.10441,0.08595,-0.11951,-0.51225,0.99691,-0.38868,0.09235,0.07594
133,-0.13392,-0.75763,1.50175,-0.64906,0.10346,0.08519,-0.11845,-0.51275,0.99787,-0.38909,0.09154,0.07526
134,-0.13195,-0.75737,1.50213,-0.64956,0.10192,0.08395,-0.11672,-0.51351,0.9994,-0.38975,0.09022,0.07415
135,-0.12921,-0.75718,1.50261,-0.65006,0.0998,0.08221,-0.11432,-0.51455,1.00148,-0.39066,0.08837,0.0726
136,-0.12567,-0.75705,1.50319,-0.65054,0.09705,0.07996,-0.11121,-0.51586,1.00411,-0.39181,0.08598,0.07061
137,-0.12087,-0.75193,1.493,-0.64518,0.09334,0.0769,-0.10732,-0.51677,1.00556,-0.39214,0.08299,0.06812
138,-0.11446,-0.73697,1.46164,-0.62841,0.08839,0.07282,-0.10259,-0.51668,1.00422,-0.39065,0.07935,0.06509
139,-0.10675,-0.71411,1.41331,-0.60252,0.08242,0.06791,-0.097,-0.51591,1.00088,-0.38781,0.07504,0.06152
140,-0.09798,-0.68522,1.35205,-0.5697,0.07564,0.06233,-0.09051,-0.51478,0.99631,-0.38407,0.07003,0.05738
141,-0.08836,-0.65225,1.28208,-0.53226,0.06821,0.05622,-0.08309,-0.5136,0.99128,-0.3799,0.06431,0.05265
142,-0.07805,-0.61743,1.20813,-0.49271,0.06023,0.04966,-0.07469,-0.51268,0.98658,-0.37579,0.05782,0.04729
143,-0.06708,-0.58342,1.13588,-0.45409,0.05176,0.0427,-0.06524,-0.51229,0.98297,-0.37224,0.05052,0.04128
144,-0.05549,-0.55349,1.07228,-0.42007,0.04279,0.03534,-0.05468,-0.51268,0.9812,-0.36978,0.04237,0.03457
